sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,affect_ANGRY,affect_HAPPY,affect_RELAXED,affect_SAD
1,503234,1035.5,919.0,4111.0,2050634.0,97.0,,,,,,RELAXED,,18817142.25,0,0,1,0
1,2689934,604.5,869.0,4062.5,2066925.5,80.0,,,,,,RELAXED,,17624487.5,0,0,1,0
1,3788764,-144.5,2447.0,3280.5,2135536.0,79.0,,,,,,RELAXED,,16770369.5,0,0,1,0
1,6924725,970.5,1613.5,3712.0,2359741.0,0.0,,,,,,HAPPY,,17324196.5,0,1,0,0
2,1651527,880.5,2110.0,3516.0,2037454.5,111.0,,,,,,HAPPY,,17589636.25,0,1,0,0
2,2500736,440.5,1561.0,3890.5,2057505.0,89.0,,,,,,HAPPY,,17766751.5,0,1,0,0
2,3354627,226.0,1517.0,2948.0,2200076.5,0.0,,,,,,RELAXED,,11043069.0,0,0,1,0
3,270489,316.0,1249.5,3937.5,2260660.5,73.0,,,,,,RELAXED,,17165012.5,0,0,1,0
3,1275542,20.0,1515.5,3741.5,2224366.0,70.0,,,,,,HAPPY,,16295962.5,0,1,0,0
3,1287900,178.5,1182.5,3864.0,2205870.0,75.0,,,,,,RELAXED,,16360664.5,0,0,1,0
3,3167176,140.5,1752.0,3771.0,2321277.0,97.0,,,,,,RELAXED,,17309685.25,0,0,1,0
4,374515,69.0,815.0,4018.0,1973645.0,0.0,,,,,,RELAXED,,16813310.0,0,0,1,0
4,1719800,-218.0,1189.0,3907.0,2231401.5,0.0,,,,,,HAPPY,,16725894.0,0,1,0,0
4,2589467,307.0,-13.0,4032.0,1901914.0,72.0,,,,,,RELAXED,,16351442.0,0,0,1,0
4,3926483,-36.0,441.0,4072.0,2416573.5,0.0,,,,,,HAPPY,,16776961.0,0,1,0,0
6,1505486,-168.5,-82.5,4174.5,1953465.0,92.0,,,,,,HAPPY,,17461648.75,0,1,0,0
6,3711705,-758.5,2022.5,3632.5,1946111.0,93.0,,,,,,HAPPY,,17860884.75,0,1,0,0
6,4656755,-512.0,2321.3333333333335,3407.0,2110209.6666666665,95.0,,,,,,HAPPY,,17258381.444444444,0,1,0,0
7,403218,-237.0,587.5,4091.5,2536451.5,80.0,,,,,,RELAXED,,17141697.5,0,0,1,0
7,3941280,-95.0,1669.5,3750.0,2054155.0,83.0,,,,,,HAPPY,,16858755.25,0,1,0,0
8,1287199,-302.5,1599.0,3696.0,2001230.5,77.0,,,,,,RELAXED,,16308723.25,0,0,1,0
8,2228997,-630.0,775.0,4018.0,2033795.0,58.0,,,,,,RELAXED,,17141849.0,0,0,1,0
8,3225039,-331.0,940.5,4003.5,2093087.0,0.0,,,,,,RELAXED,,17022113.5,0,0,1,0
9,388545,-3695.0,-1620.0,-29.0,1652836.0,0.0,,,,,,RELAXED,,16278266.0,0,0,1,0
9,1976490,1932.5,1524.5,3362.5,1669117.5,0.0,,,,,,HAPPY,,17365062.75,0,1,0,0
9,4200804,-469.5,193.0,4114.5,2386605.0,70.0,,,,,,RELAXED,,17186789.5,0,0,1,0
9,5115959,44.0,2063.0,3510.0,1987829.5,76.0,,,,,,RELAXED,,16578005.0,0,0,1,0
10,437447,31.0,1749.0,3831.0,2103598.0,74.0,,,,,,RELAXED,,17736523.0,0,0,1,0
10,1399488,-473.5,-170.0,4061.0,2211775.0,85.0,,,,,,HAPPY,,16744823.25,0,1,0,0
10,2359355,-121.0,877.5,4055.5,2154972.0,86.0,,,,,,ANGRY,,17231727.5,1,0,0,0
10,3450631,130.5,1628.0,3798.0,2131180.0,73.0,,,,,,SAD,,17092218.25,0,0,0,1
14,470957,512.5,574.5,4082.5,2034104.0,94.0,,,,,,RELAXED,,17259512.75,0,0,1,0
14,1130383,111.5,494.0,4074.5,2203566.0,93.0,,,,,,RELAXED,,16858018.5,0,0,1,0
14,2386430,84.5,650.0,4139.5,2249343.5,0.0,,,,,,RELAXED,,17565100.5,0,0,1,0
14,3101136,365.0,943.5,4012.0,2235494.0,96.0,,,,,,SAD,,17119561.25,0,0,0,1
15,988203,1891.5,1534.5,3198.0,2144251.0,0.0,,,,,,RELAXED,,16159666.5,0,0,1,0
15,1630644,1457.5,1039.5,3794.0,2134221.5,0.0,,,,,,RELAXED,,17599302.5,0,0,1,0
17,424138,-290.0,1364.5,3857.0,2078030.0,82.0,,,,,,RELAXED,,16822409.25,0,0,1,0
