sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,context_CONVERSATION,context_OTHER,context_VIEW_BOOTH,context_WALKING
1,509006,1302.5,752.0,3981.0,2018658.0,99.0,,,,,,,WALKING,18110371.25,0,0,0,1
1,2700529,564.5,540.5,4118.5,2076968.5,81.0,,,,,,,CONVERSATION,17572842.75,1,0,0,0
1,3793024,64.0,2446.0,3324.0,2139463.5,74.0,,,,,,,OTHER,17035988.0,0,1,0,0
1,6928402,1186.0,2011.0,3474.0,2360949.0,90.0,,,,,,,WALKING,17519393.0,0,0,0,1
2,1659198,776.5,2096.0,3546.5,2026473.0,105.0,,,,,,,OTHER,17573830.5,0,1,0,0
2,2502728,327.5,1947.0,3546.0,2058262.0,89.0,,,,,,,OTHER,16472181.25,0,1,0,0
2,3361063,217.5,1337.5,3892.0,2198997.5,0.0,,,,,,,WALKING,16983876.5,0,0,0,1
3,278819,292.0,1265.5,3981.0,2205687.0,72.0,,,,,,,OTHER,17535115.25,0,1,0,0
3,1280669,169.0,1587.0,3851.5,2170963.5,73.0,,,,,,,WALKING,17381182.25,0,0,0,1
3,1291304,89.5,1102.0,3906.5,2193523.0,73.0,,,,,,,WALKING,16483156.5,0,0,0,1
3,3172068,224.0,1773.0,3818.5,2325683.0,94.0,,,,,,,WALKING,17774647.25,0,0,0,1
4,378819,235.5,823.5,4082.5,1993280.5,0.0,,,,,,,WALKING,17400418.75,0,0,0,1
4,1722277,-283.3333333333333,1024.3333333333333,3839.3333333333335,2254332.3333333335,80.0,,,,,,,CONVERSATION,15870017.000000002,1,0,0,0
4,2593355,379.0,137.0,3990.5,1946469.0,74.0,,,,,,,CONVERSATION,16086500.25,1,0,0,0
4,3930185,-72.5,404.5,4103.0,2468569.0,87.0,,,,,,,CONVERSATION,17003485.5,1,0,0,0
6,1510518,35.5,154.5,4294.5,1975474.0,89.0,,,,,,,OTHER,18467860.75,0,1,0,0
6,3720938,-618.0,1677.0,3928.0,2044880.0,91.0,,,,,,,CONVERSATION,18623437.0,1,0,0,0
6,4660021,-769.5,1909.5,3639.0,2094856.0,94.0,,,,,,,OTHER,17480641.5,0,1,0,0
7,409699,-201.5,601.5,4113.0,2554817.5,78.0,,,,,,,VIEW_BOOTH,17319173.5,0,0,1,0
7,3944902,-121.0,1755.5,3719.0,2090060.5,81.0,,,,,,,CONVERSATION,16927382.25,1,0,0,0
8,1292754,-113.0,1596.5,3909.0,2017034.5,77.0,,,,,,,CONVERSATION,17841862.25,1,0,0,0
8,2235323,-860.0,777.0,3991.5,2054958.5,63.0,,,,,,,CONVERSATION,17275401.25,1,0,0,0
