id,duration,watchId,age,gender,fairNumber
1,8021351,0Q3V,18-25,female,1
2,3752526,0Q3V,26-30,male,1
3,3989497,0QED,18-25,male,1
4,4979198,0QED,18-25,male,1
5,4836199,0QVM,18-25,male,1
6,4677432,0RQF,18-25,male,1
7,4982640,0RQF,18-25,male,1
8,4052272,0V7D,18-25,male,1
9,7062503,0V7D,18-25,male,1
10,4678102,0VBR,18-25,male,1
11,4943292,0VBR,18-25,male,1
12,8088986,1QJH,18-25,female,1
13,3774518,1QJH,18-25,male,1
14,5085098,0Q3V,31-40,female,2
15,4009298,0QVM,18-25,female,2
16,7753940,0RQF,18-25,female,2
17,9153059,0V7D,18-25,female,2
18,4973889,0V7D,18-25,male,2
19,3951161,0VBR,18-25,female,2
20,5197420,0VBR,31-40,female,2
21,3950543,1QJH,18-25,female,2
22,3798259,1QJH,18-25,female,2
23,4009298,0QVM,18-25,female,3
24,9308843,0QVM,26-30,male,3
25,3745019,0QVM,18-25,female,3
26,5024972,0V7D,18-25,female,3
27,5215075,0V7D,26-30,male,3
28,6850942,0VBR,26-30,male,3
29,9266247,20HZ,31-40,female,3
30,3716686,20HZ,18-25,female,3
31,7752638,PTQV,26-30,female,3
32,4809992,PTQV,31-40,male,3
33,4007160,PTWR,31-40,male,3
34,7701997,PVJD,31-40,female,3
35,7851545,PVQB,26-30,female,3
36,7284808,PVQB,18-25,male,3
37,8562272,0Q3V,18-25,male,4
38,9041356,0Q3V,18-25,male,4
39,7713034,0QED,26-30,female,4
40,6715363,0RQF,18-25,female,4
41,9116053,0RQF,18-25,male,4
42,8436487,0RTE,18-25,male,4
43,6703739,0RTE,18-25,female,4
44,8386119,0V7D,18-25,male,4
45,6623412,0V7D,18-25,female,4
46,8530384,0VBR,18-25,female,4
47,8874653,0VBR,18-25,male,4
48,4225593,20HZ,18-25,female,4
49,8844603,20HZ,18-25,male,4
50,8351871,2V0Z,18-25,female,4
51,9010335,2V0Z,26-30,male,4
52,7816946,PTQV,18-25,male,4
53,7757844,PTQV,26-30,male,4
54,9360502,PTWR,26-30,female,4
55,6428978,PVJD,18-25,female,4
56,6732526,PVJD,18-25,female,4
57,8525474,PVQB,26-30,female,4
58,6662013,PVQB,18-25,female,4
